rank,aspect,mention_count,mean_sentiment,median_sentiment,std_sentiment
293,alternative destination,14,4.071,4.0,0.616
294,hiking trails,22,4.091,5.0,1.231
295,wine,11,4.091,4.0,0.944
296,activity,11,4.091,4.0,0.944
297,social scene,10,4.1,4.0,0.568
298,public transportation,69,4.116,4.0,0.993
299,walking,8,4.125,4.5,1.356
300,tourist attractions,62,4.129,5.0,1.235
301,tour,23,4.13,4.0,1.058
302,dining,14,4.143,4.0,1.099
303,hotel service,7,4.167,4.5,1.169
304,guided tours,12,4.167,4.5,1.03
305,surfing,11,4.182,5.0,1.25
306,day trip,41,4.195,4.0,0.872
307,cultural activities,5,4.2,4.0,0.837
308,city worthiness,5,4.2,5.0,1.095
309,island visit,5,4.2,4.0,0.837
310,charm,5,4.2,5.0,1.789
311,seasonal experience,5,4.2,5.0,1.304
312,island hopping,10,4.2,4.0,0.632
313,museums,52,4.212,4.0,0.997
314,social atmosphere,9,4.222,4.0,0.833
315,markets,13,4.231,4.0,0.832
316,alternative destinations,20,4.25,4.0,0.444
317,town,4,4.25,4.0,0.5
318,market,8,4.25,4.5,0.886
319,archeological site,4,4.25,4.5,0.957
320,landmark,4,4.25,4.5,0.957
321,temples and shrines,4,4.25,5.0,1.5
322,downtown area,4,4.25,4.0,0.5
323,coastline,4,4.25,5.0,1.5
324,coffee shops,4,4.25,4.5,0.957
325,small towns,12,4.25,4.5,1.138
326,road trips,4,4.25,4.5,0.957
327,river cruise,4,4.25,4.5,0.957
328,time to visit,4,4.25,4.0,0.5
329,cuisine,15,4.267,5.0,1.033
330,national parks,14,4.286,4.0,0.611
331,destination suggestion,7,4.286,5.0,0.951
332,safari experience,14,4.286,5.0,0.914
333,route planning,7,4.286,4.0,0.488
334,restaurants,21,4.286,5.0,0.956
335,photography,7,4.286,5.0,0.951
336,lake,10,4.3,4.0,0.675
337,scenic drives,10,4.3,5.0,1.059
338,food,294,4.304,5.0,0.925
339,overall experience,503,4.304,5.0,1.057
340,culture,75,4.307,5.0,0.854
341,history,64,4.312,5.0,0.871
342,hiking,90,4.322,5.0,0.946
343,tourism popularity,3,4.333,5.0,1.155
344,lifestyle,3,4.333,5.0,1.155
345,local market,3,4.333,4.0,0.577
346,history and culture,3,4.333,5.0,1.155
347,forest tours,3,4.333,4.0,0.577
348,local knowledge,3,4.333,4.0,0.577
349,historical landmarks,3,4.333,4.0,0.577
350,hotel amenities,3,4.333,4.0,0.577
351,dress code,3,4.333,5.0,1.155
352,regional exploration,9,4.333,4.0,0.5
353,local assistance,3,4.333,5.0,1.155
354,ferry ride,3,4.333,4.0,0.577
355,lakes,3,4.333,4.0,0.577
356,seasonality,3,4.333,5.0,1.155
357,nature and scenery,3,4.333,4.0,0.577
358,scooter rental,3,4.333,4.0,0.577
359,popularity,3,4.333,5.0,1.155
360,village charm,3,4.333,4.0,0.577
361,travel experience,12,4.333,5.0,1.231
362,regional characteristics,3,4.333,4.0,0.577
363,bar/nightlife,3,4.333,4.0,0.577
364,barcelona,3,4.333,5.0,1.155
365,cathedral,3,4.333,4.0,0.577
366,street life,3,4.333,4.0,0.577
367,country selection,3,4.333,4.0,0.577
368,biking,3,4.333,4.0,0.577
369,boat tour,6,4.333,4.5,0.816
370,boat tours,3,4.333,4.0,0.577
371,bars,3,4.333,5.0,1.155
372,city recommendation,6,4.333,5.0,1.633
373,attractions,169,4.337,5.0,0.801
374,destination,73,4.342,5.0,0.786
375,neighborhoods,17,4.353,4.0,0.606
376,exploration,14,4.357,4.0,0.497
377,trekking,11,4.364,4.0,0.674
378,road trip,22,4.364,4.0,0.492
379,hotel,8,4.375,4.5,0.744
380,lake experience,8,4.375,4.0,0.518
381,outdoor activities,40,4.385,5.0,1.091
382,towns,18,4.389,4.0,0.502
383,city overall,18,4.389,5.0,1.195
384,atmosphere,64,4.391,5.0,1.107
385,city atmosphere,25,4.4,5.0,0.816
386,museum,15,4.4,5.0,0.91
387,cafe,5,4.4,4.0,0.548
388,food and drink,15,4.4,5.0,0.828
389,bar,5,4.4,4.0,0.548
390,neighborhood,7,4.429,5.0,0.976
391,events,7,4.429,5.0,0.787
392,gorilla trekking,7,4.429,5.0,1.134
393,wine region,7,4.429,4.0,0.535
394,snorkeling,9,4.444,5.0,0.882
395,parks,9,4.444,4.0,0.527
396,nature,76,4.447,5.0,0.79
397,island experience,20,4.45,5.0,0.887
398,local food,11,4.455,5.0,0.82
399,relaxation,24,4.458,5.0,1.179
400,old town,30,4.467,5.0,0.681
401,landmarks,15,4.467,5.0,0.64
402,planning and research,4,4.5,4.5,0.577
403,castle,6,4.5,4.5,0.548
404,overall travel experience,4,4.5,4.5,0.577
405,cultural sensitivity,4,4.5,4.5,0.577
406,historical significance,4,4.5,5.0,1.0
407,historical sites,22,4.5,5.0,0.964
408,local attractions,4,4.5,4.5,0.577
409,castles,6,4.5,4.5,0.548
410,historical site,6,4.5,4.5,0.548
411,general impression,4,4.5,4.5,0.577
412,national park,31,4.516,5.0,0.677
413,restaurant,23,4.522,5.0,0.898
414,city charm,17,4.529,5.0,0.8
415,food scene,15,4.533,5.0,0.834
416,local interaction,15,4.533,5.0,0.834
417,temples,7,4.571,5.0,0.787
418,rural areas,7,4.571,5.0,0.535
419,local people,24,4.583,5.0,1.06
420,architecture,57,4.596,5.0,0.728
421,photography opportunities,5,4.6,5.0,0.548
422,local experiences,5,4.6,5.0,0.894
423,cultural experiences,10,4.6,5.0,0.699
424,festival experience,5,4.6,5.0,0.548
425,affordability,15,4.6,5.0,0.632
426,town charm,5,4.6,5.0,0.548
427,region,8,4.625,5.0,0.518
428,city vibe,11,4.636,5.0,0.674
429,natural attraction,14,4.643,5.0,0.842
430,local culture,17,4.647,5.0,0.493
431,countryside,6,4.667,5.0,0.516
432,food and wine,3,4.667,5.0,0.577
433,flexibility,3,4.667,5.0,0.577
434,scenic area,3,4.667,5.0,0.577
435,scenic drive,9,4.667,5.0,0.5
436,cliffs of moher,3,4.667,5.0,0.577
437,hospitality,6,4.667,5.0,0.516
438,beach/coast,3,4.667,5.0,0.577
439,scenic view,3,4.667,5.0,0.577
440,beach relaxation,3,4.667,5.0,0.577
441,seafood,3,4.667,5.0,0.577
442,beach/relaxation,3,4.667,5.0,0.577
443,timing of visit,3,4.667,5.0,0.577
444,local life,3,4.667,5.0,0.577
445,local exploration,3,4.667,5.0,0.577
446,social etiquette,3,4.667,5.0,0.577
447,amusement park,3,4.667,5.0,0.577
448,local restaurants,3,4.667,5.0,0.577
449,cenotes,3,4.667,5.0,0.577
450,swimming,3,4.667,5.0,0.577
451,art and culture,3,4.667,5.0,0.577
452,national park experience,6,4.667,5.0,0.516
453,park,3,4.667,5.0,0.577
454,mountains,3,4.667,5.0,0.577
455,parks and gardens,3,4.667,5.0,0.577
456,accommodation/location preference,3,4.667,5.0,0.577
457,vineyards,3,4.667,5.0,0.577
458,overall trip,3,4.667,5.0,0.577
459,adventure activities,6,4.667,5.0,0.816
460,proximity to attractions,3,4.667,5.0,0.577
461,country,3,4.667,5.0,0.577
462,natural attractions,28,4.679,5.0,0.723
463,wildlife,36,4.694,5.0,0.889
464,city attractions,7,4.714,5.0,0.488
465,pace of life,4,4.75,5.0,0.5
466,convenience,4,4.75,5.0,0.5
467,night markets,4,4.75,5.0,0.5
468,social experience,4,4.75,5.0,0.5
469,churches,4,4.75,5.0,0.5
470,entertainment,4,4.75,5.0,0.5
471,destination interest,4,4.75,5.0,0.5
472,walkability,41,4.78,5.0,0.725
473,scenic beauty,34,4.794,5.0,0.641
474,previous travel experience,5,4.8,5.0,0.447
475,lake scenery,5,4.8,5.0,0.447
476,scenic views,70,4.8,5.0,0.554
477,scenery,46,4.826,5.0,0.529
478,scuba diving,6,4.833,5.0,0.408
479,islands,6,4.833,5.0,0.408
480,cultural experience,19,4.842,5.0,0.375
481,scenic route,13,4.846,5.0,0.376
482,waterfalls,7,4.857,5.0,0.378
483,overall impression,7,4.857,5.0,0.378
484,natural scenery,14,4.857,5.0,0.363
485,natural beauty,107,4.888,5.0,0.396
486,views,9,4.889,5.0,0.333
487,people,22,4.909,5.0,0.294
488,wildlife viewing,11,4.909,5.0,0.302
489,local experience,13,4.923,5.0,0.277
490,ease of travel,5,5.0,5.0,0.0
491,beaches/lakes,3,5.0,5.0,0.0
492,social activities,3,5.0,5.0,
493,honesty of locals,3,5.0,5.0,0.0
494,natural wonder,3,5.0,5.0,0.0
495,cultural sights,3,5.0,5.0,0.0
496,coastal areas,6,5.0,5.0,0.0
497,local hospitality,6,5.0,5.0,0.0
498,coastal scenery,3,5.0,5.0,0.0
499,beauty,7,5.0,5.0,0.0
500,romantic atmosphere,4,5.0,5.0,0.0
501,festival,4,5.0,5.0,0.0
502,autumn scenery,4,5.0,5.0,0.0
503,romance,5,5.0,5.0,0.0
504,island destinations,3,5.0,5.0,0.0
505,mountain scenery,4,5.0,5.0,0.0
506,transport,3,5.0,5.0,0.0
507,romantic setting,3,5.0,5.0,0.0
508,dining experience,3,5.0,5.0,0.0
509,diversity,3,5.0,5.0,0.0
510,street food,11,5.0,5.0,0.0
511,diving,5,5.0,5.0,0.0
512,pubs,3,5.0,5.0,0.0
513,undiscovered destinations,4,5.0,5.0,0.0
514,culture and people,4,5.0,5.0,0.0
515,overall beauty,3,5.0,5.0,0.0
516,landscape,4,5.0,5.0,0.0
517,privacy,3,5.0,5.0,0.0
518,destinations,4,5.0,5.0,0.0
519,daytrip options,4,5.0,5.0,0.0
520,wildlife experience,4,5.0,5.0,0.0
521,walking tours,3,5.0,5.0,0.0
522,viewpoint,3,5.0,5.0,0.0
523,geographical location,3,5.0,5.0,0.0
524,cultural events,3,5.0,5.0,0.0
525,cultural richness,3,5.0,5.0,0.0
526,general beauty,3,5.0,5.0,0.0
527,historic sites,4,5.0,5.0,0.0
528,street art,3,5.0,5.0,0.0
529,landscapes,10,5.0,5.0,0.0
