rank,country,aspect_mentions,unique_aspects,mean_sentiment,median_sentiment,std_sentiment,min_sentiment,max_sentiment,top_positive_aspect,top_negative_aspect
87,Asia,6,6,3.833,4.5,1.602,1.0,5.0,cost of living,air quality
88,Brazil,23,16,3.826,4.0,1.403,1.0,5.0,beach quality,cost
89,South Africa,17,15,3.824,4.0,1.015,2.0,5.0,flora and fauna,airport transfer
90,Central Asia,11,11,3.818,4.0,1.25,2.0,5.0,local tour group,language barrier
91,Colombia,108,78,3.815,4.0,1.086,1.0,5.0,wildlife viewing,cities/nightlife
92,Italy,769,368,3.801,4.0,1.174,1.0,5.0,rural areas,train station experience
93,Zambia/Zimbabwe,5,5,3.8,4.0,1.304,2.0,5.0,bridge,white-water rafting
94,Azerbaijan,14,14,3.786,4.0,1.369,1.0,5.0,ateshgah (fire temple),traffic
95,Slovakia,13,10,3.769,4.0,1.423,1.0,5.0,local hospitality,driving experience
96,Denmark,124,84,3.766,4.0,1.045,1.0,5.0,walkability,cost
97,Panama,21,18,3.762,4.0,1.091,2.0,5.0,nature,road conditions
98,South East Asia,8,8,3.75,5.0,1.832,1.0,5.0,accommodation prices,beach conditions
99,South Korea,51,36,3.75,4.0,1.176,1.0,5.0,cuisine,cost
100,Mexico,208,126,3.744,4.0,1.226,1.0,5.0,xochimilco experience,cabo
101,Peru,218,122,3.743,4.0,1.135,1.0,5.0,wildlife experience,nazca lines
102,Vietnam,373,192,3.743,4.0,1.175,1.0,5.0,local people,road safety
103,Hungary,56,46,3.732,4.0,1.355,1.0,5.0,accommodation,retail service
104,New Caledonia,11,11,3.727,4.0,1.191,2.0,5.0,local people,food and water availability
105,Kazakhstan,36,36,3.722,4.0,1.186,1.0,5.0,lake,road conditions
106,Chile,58,34,3.714,4.0,1.232,1.0,5.0,accommodation,cost
107,Ethiopia,17,17,3.706,4.0,1.105,2.0,5.0,airline reliability,heat
108,Sri Lanka,54,32,3.704,4.0,1.143,1.0,5.0,whale watching,travel timing
109,Guatemala,130,75,3.7,4.0,1.166,1.0,5.0,xelapan bakery,solo female travel
110,Mauritius,13,13,3.692,3.0,0.855,3.0,5.0,beach relaxation,accommodation
111,Indonesia,263,150,3.692,4.0,1.242,1.0,5.0,accessibility,transportation (damri)
112,Croatia,141,99,3.681,4.0,1.227,1.0,5.0,history,border waiting time
113,Hong Kong and Laos,3,3,3.667,4.0,0.577,3.0,4.0,public transport,accommodation
114,Brunei,3,3,3.667,4.0,0.577,3.0,4.0,day trip,city atmosphere
115,Multiple,66,47,3.651,4.0,0.845,2.0,5.0,hiking and adventure activities,weather
116,Finland,20,17,3.65,4.0,0.933,1.0,5.0,transportation,atmosphere
117,Netherlands,45,26,3.622,4.0,1.23,1.0,5.0,neighborhoods,cost
118,Cambodia,40,32,3.6,4.0,1.482,1.0,5.0,accommodation,weather
119,Balkans,5,5,3.6,4.0,0.894,2.0,4.0,border crossing,travel planning resources
120,Sweden,19,15,3.579,4.0,0.838,2.0,5.0,natural diversity,comparison to other cities
121,Singapore,24,21,3.542,3.5,0.932,2.0,5.0,city experience,weather
122,Dominican Republic,15,12,3.533,4.0,1.302,2.0,5.0,accommodation,beach conditions
123,Laos,29,26,3.517,4.0,1.299,1.0,5.0,solo travel experience,destination recommendation
124,United States,111,79,3.477,4.0,1.306,1.0,5.0,ecological diversity,hotel prices
125,Uganda,19,17,3.474,3.0,1.264,1.0,5.0,wildlife trekking,health and safety
126,Kyrgyzstan,28,22,3.429,3.0,1.2,1.0,5.0,riding quality,communication
127,Moldova,17,17,3.412,3.0,1.064,2.0,5.0,train travel,tour pricing
128,India,132,67,3.409,4.0,1.365,1.0,5.0,scenic beauty,government policies
129,Africa,5,5,3.4,3.0,1.517,2.0,5.0,overall experience,over-tourism
130,Russia,8,8,3.375,4.0,1.506,1.0,5.0,natural scenery,remoteness
131,Macedonia,3,3,3.333,3.0,1.528,2.0,5.0,overall experience,travel restrictions
132,Central African Republic,9,9,3.333,3.0,1.225,2.0,5.0,scenic views,accommodation
133,Montenegro and Albania,3,3,3.333,3.0,1.528,2.0,5.0,relaxation,driving
134,Ivory Coast,3,3,3.333,4.0,1.155,2.0,4.0,flight route,city experience
135,Jordan,10,8,3.3,3.0,0.483,3.0,4.0,accommodation,comparison to other destinations
136,Tunisia,39,31,3.282,3.0,1.191,1.0,5.0,day trip,car rental
137,Czechia,11,10,3.273,4.0,0.905,2.0,4.0,castle visits,city life
138,Egypt,126,86,3.264,3.0,1.339,1.0,5.0,flight prices,scam risk
139,Tajikistan,12,10,3.25,3.0,1.138,1.0,5.0,hiking,road conditions
140,Hong Kong,6,6,3.167,3.0,0.753,2.0,4.0,destination options,things to do
141,Bahamas,7,7,3.143,3.0,1.345,2.0,5.0,beach and water quality,local vendors and salespeople
142,Lebanon,9,8,3.111,3.0,1.764,1.0,5.0,architecture,politics
143,Armenia,12,11,3.083,3.0,0.289,3.0,4.0,driving experience,architecture
144,Bosnia and Herzegovina,15,12,3.067,3.0,0.799,2.0,5.0,overall experience,cost
145,Latin America,3,3,3.0,3.0,2.0,1.0,5.0,tourism,us influence
146,Burkina Faso,3,3,3.0,3.0,1.0,2.0,4.0,flight experience,safety
147,Syria,5,4,3.0,3.0,0.0,3.0,3.0,border crossing,border crossing
148,Pakistan,18,15,2.833,2.5,1.043,2.0,5.0,hiking,climate
149,South America,4,4,2.75,2.0,1.5,2.0,5.0,culture,cost
150,Chile/Argentina,4,4,2.75,2.5,0.957,2.0,4.0,overall experience,child-friendliness
151,Argentina/Chile,4,4,2.75,2.5,1.708,1.0,5.0,visiting patagonia,seasonal travel
152,"general Alps region (e.g. France, Switzerland, Austria, etc.)",5,5,2.4,2.0,0.894,2.0,4.0,mountaineering,cable cars
153,Monaco,11,9,2.364,2.0,1.286,1.0,4.0,day trip to monaco,overall experience
154,Türkiye,3,3,2.333,1.0,2.309,1.0,5.0,exploration,driving
155,Gibraltar,10,9,1.8,1.0,1.135,1.0,4.0,day trip options,city worth
156,Vietnam and Cambodia,5,5,1.8,2.0,0.837,1.0,3.0,guided tours,group tours
